feature_set,baseline_features,expanded_features_added,expanded_features_total,input_features,folds,accuracy,balanced_accuracy,auc_macro_subject,auc_std_subject,auc_pooled_epochs,f1,sensitivity,specificity,selected_features_mean,selected_features_min,selected_features_max,delta_auc_vs_fold_local_baseline,delta_auc_vs_historical_0850,improves_fold_local_baseline,improves_historical_0850,subjects_auc_better_than_baseline,subjects_auc_worse_than_baseline,paired_wilcoxon_p_auc_greater_than_baseline
baseline_135,135,0,165,135,26,0.72631178,0.72843025,0.83213093,0.12521769,0.75746028,0.63735836,0.63266178,0.82419872,60.00000000,60,60,0.00000000,-0.01786907,False,False,0,0,1.00000000
wavelet_only,0,18,165,18,26,0.70221553,0.71119505,0.82250649,0.09803010,0.76592426,0.63570226,0.65700549,0.76538462,18.00000000,18,18,-0.00962445,-0.02749351,False,False,11,15,0.69871229
mfcc_only,0,15,165,15,26,0.69712679,0.70534951,0.84256668,0.09664859,0.77292053,0.62840062,0.63585928,0.77483974,15.00000000,15,15,0.01043574,-0.00743332,True,False,11,14,0.42002868
ar_only,0,15,165,15,26,0.67082036,0.67727411,0.84174823,0.13232899,0.70509682,0.57271977,0.61416361,0.74038462,15.00000000,15,15,0.00961729,-0.00825177,True,False,9,16,0.56942201
spectral_only,0,45,165,45,26,0.67863127,0.68263126,0.78908730,0.15651411,0.71398860,0.59546262,0.62359585,0.74166667,45.00000000,45,45,-0.04304363,-0.06091270,False,False,6,20,0.95792803
connectivity_only,0,18,165,18,26,0.62897388,0.63303953,0.69879569,0.16403225,0.65712988,0.53333447,0.54091880,0.72516026,18.00000000,18,18,-0.13333524,-0.15120431,False,False,4,22,0.99994346
all_expanded_only,0,165,165,165,26,0.75851775,0.76124466,0.89063931,0.10624157,0.82879201,0.68832467,0.65790598,0.86458333,60.00000000,60,60,0.05850838,0.04063931,True,True,21,5,0.00057485
baseline_plus_wavelet,135,18,165,153,26,0.74200834,0.74859203,0.87736569,0.09711950,0.82533007,0.69090801,0.69045330,0.80673077,60.00000000,60,60,0.04523476,0.02736569,True,True,19,6,0.00140831
baseline_plus_mfcc,135,15,165,150,26,0.74807704,0.75420482,0.86263212,0.11334128,0.82213140,0.69559414,0.68981990,0.81858974,60.00000000,60,60,0.03050118,0.01263212,True,True,18,8,0.00328367
baseline_plus_ar,135,15,165,150,26,0.72392142,0.72633547,0.83919557,0.12212630,0.76552936,0.64894225,0.65267094,0.80000000,60.00000000,60,60,0.00706464,-0.01080443,True,False,13,11,0.27895338
baseline_plus_spectral,135,45,165,180,26,0.71579309,0.72253129,0.82952343,0.13168701,0.75120115,0.63555163,0.65932540,0.78573718,60.00000000,60,60,-0.00260751,-0.02047657,False,False,12,14,0.65310474
baseline_plus_connectivity,135,18,165,153,26,0.72084101,0.72366835,0.83493494,0.13780634,0.76485145,0.64211658,0.63756105,0.80977564,60.00000000,60,60,0.00280401,-0.01506506,True,False,13,11,0.24189671
baseline_plus_all_expanded,135,165,165,300,26,0.76107435,0.76341957,0.88474035,0.08520186,0.82765997,0.68556428,0.65985195,0.86698718,60.00000000,60,60,0.05260941,0.03474035,True,True,19,7,0.00428171
